SUBJECT,TIME,FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,PZ,T5',T6',O1',O2',"P3""","P4""","PZ""",OZ,I,"CB1""","CB2""",CB1,CB2
CBA,10,326.5009,206.0459,132.5216,57.1444,-18.1939,21.3638,23.8616,-44.7932,-66.8486,-50.8244,173.8224,-24.8902,-11.1788,-100.1992,-16.9286,-56.8142,107.3587,17.0758,-14.3723,-49.7551,-35.5121,-72.6055,15.371,-50.5926,-38.852,-101.4961,-94.9991,-73.9624,-56.5064,-23.7033,-62.0945
CBA,11,326.7606,211.9527,133.641,53.6439,-18.019,21.1033,21.432,-45.1405,-75.2263,-52.9202,175.0188,-18.1491,-10.7488,-97.881,-22.8054,-56.5499,107.9772,16.2957,-13.9394,-49.321,-43.8475,-71.1343,10.5078,-51.654,-41.0249,-106.7641,-96.1239,-93.3024,-56.3339,-36.0778,-55.728
CBA,12,328.3187,217.0778,134.5882,52.9439,-18.3688,20.4954,19.176,-45.5745,-83.7767,-52.6582,176.9843,-12.7908,-10.4048,-95.4769,-28.5945,-55.6691,108.3307,15.4289,-14.1991,-47.758,-52.5301,-67.6728,5.7316,-51.654,-42.8502,-110.4516,-94.2204,-112.3811,-55.8163,-47.8423,-49.9721
CBA,13,331.002,220.8999,135.7076,54.6066,-18.8062,19.6269,17.0936,-46.269,-90.9452,-51.8723,179.0354,-9.4203,-9.9749,-93.6738,-33.0679,-55.1406,109.0376,14.3887,-15.0649,-45.9345,-60.2577,-64.7305,1.65,-51.5655,-44.4147,-112.91,-89.5484,-125.9714,-55.1261,-56.5567,-47.443
CBA,14,333.5988,222.6372,136.9993,57.3194,-18.8937,18.9322,15.792,-46.9634,-94.1408,-51.0863,180.0609,-8.1239,-9.287,-92.6435,-34.7344,-55.4048,110.1863,13.6953,-15.4113,-44.632,-64.4254,-63.2594,-0.1737,-51.3002,-44.9362,-113.0856,-82.7133,-129.5432,-53.7458,-58.8225,-47.879
CBA,15,334.724,221.3343,137.6881,60.4698,-18.8062,18.3242,15.9656,-47.3975,-92.4998,-49.5145,179.2917,-8.9017,-8.771,-92.5576,-33.2433,-55.7572,110.6281,13.6086,-14.1126,-43.8505,-63.9044,-62.4805,0.7816,-50.5042,-44.1539,-110.3638,-75.4456,-123.1836,-51.1577,-54.5524,-49.1872
CBA,16,333.5122,216.9041,137.602,63.5326,-18.6313,18.0637,17.2671,-47.2239,-87.145,-46.8073,176.4716,-11.1488,-8.2551,-93.3304,-29.9102,-55.581,110.1863,14.1287,-11.0823,-43.4163,-59.5631,-61.7882,3.9079,-48.8236,-42.1549,-105.5349,-69.2161,-111.2486,-47.6207,-47.4937,-49.7977
CBA,17,329.9633,210.0417,137.2576,65.5454,-18.3688,18.1506,18.829,-46.5294,-81.3584,-43.8382,172.1987,-14.6057,-8.0831,-94.8759,-26.5771,-54.9644,109.3027,14.9955,-6.8398,-43.5032,-54.4403,-61.3555,7.3815,-46.9662,-39.895,-100.7937,-65.0632,-99.8362,-44.2562,-42.0908,-49.7105
CBA,18,324.8563,202.3106,136.8271,65.7204,-18.1064,18.3242,19.6967,-45.9217,-78.0764,-42.179,166.9003,-18.4084,-8.0831,-96.9365,-24.3843,-53.8193,108.2423,15.6889,-2.1645,-43.8505,-50.8804,-61.7017,9.5526,-45.8164,-38.5912,-98.5987,-64.4575,-93.9994,-42.8759,-39.9993,-49.1
CBA,19,319.5762,195.7957,136.0521,64.4952,-18.019,18.0637,19.6099,-46.0085,-79.3719,-43.7509,161.0036,-21.0011,-7.9111,-99.1689,-24.2088,-52.5861,106.7402,15.6889,2.0779,-44.0242,-50.8804,-63.9517,9.2052,-46.2586,-38.9389,-100.7937,-68.524,-97.4841,-45.8953,-41.655,-48.4895
